DATAFLOW,REF_AREA,MEASURE,SEX,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MEASURE,UNIT_MULT
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,OTH,_T,13.1853614591596,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,LEI,_T,323.258616938897,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,PCA,_T,707.808218002521,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,PAW,_T,176.70905816186,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,OTH,F,14.2947771947521,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,LEI,F,280.922253677419,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,PCA,F,705.327315056609,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,UPW,F,306.335941182031,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),ITA,PAW,F,133.119712889189,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,OTH,M,34,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,OTH,F,40,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,LEI,_T,269,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,LEI,M,284,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,LEI,F,254,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,PCA,_T,640,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,PCA,M,632,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,PCA,F,647,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,UPW,_T,125,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,UPW,M,47,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,UPW,F,208,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,PAW,_T,368,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),JPN,PAW,M,442,0,A,MN_D,0
